Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777521357,10,,Aggregated,0.900000,0.200000,72,2100,18000,24000,30000,31000,32000,3644000,3661000,3661000,3661000,318,2,72,64821.159231132544,16.538600000785664,3661433.0104999826,339.3050314465409
1777521358,10,,Aggregated,0.900000,0.200000,72,2100,18000,24000,30000,31000,32000,3644000,3661000,3661000,3661000,318,2,72,64821.159231132544,16.538600000785664,3661433.0104999826,339.3050314465409
1777521359,10,,Aggregated,0.900000,0.200000,72,2100,18000,24000,30000,31000,32000,3644000,3661000,3661000,3661000,318,2,72,64821.159231132544,16.538600000785664,3661433.0104999826,339.3050314465409
1777521360,10,,Aggregated,0.900000,0.200000,72,2100,18000,24000,30000,31000,32000,3644000,3661000,3661000,3661000,318,2,72,64821.159231132544,16.538600000785664,3661433.0104999826,339.3050314465409
1777521361,10,,Aggregated,0.900000,0.200000,72,2100,18000,24000,30000,31000,32000,3644000,3661000,3661000,3661000,318,2,72,64821.159231132544,16.538600000785664,3661433.0104999826,339.3050314465409
1777521362,10,,Aggregated,0.800000,0.000000,72,2100,18000,25000,30000,31000,32000,3657000,3661000,3661000,3661000,319,2,72,76085.03243981238,16.538600000785664,3661433.0104999826,339.66457680250784
1777521363,10,,Aggregated,0.800000,0.000000,72,2100,18000,25000,30000,31000,32000,3657000,3661000,3661000,3661000,320,2,72,75853.74151968799,16.538600000785664,3661433.0104999826,339.7625
1777521364,10,,Aggregated,0.700000,0.000000,72,2100,18000,24000,30000,31000,32000,3657000,3661000,3661000,3661000,321,2,72,75617.56991059238,16.538600000785664,3661433.0104999826,339.74766355140184
1777521365,10,,Aggregated,0.600000,0.000000,72,2100,18000,24000,30000,31000,32000,3657000,3661000,3661000,3661000,322,2,72,75382.96366304399,16.538600000785664,3661433.0104999826,339.7329192546584
1777521366,10,,Aggregated,0.600000,0.000000,72,2100,18000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,323,2,72,86477.11825201284,16.538600000785664,3661433.0104999826,340.08978328173373
1777521367,10,,Aggregated,0.600000,0.000000,72,2100,18000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,324,2,72,86210.34135000045,16.538600000785664,3661433.0104999826,340.0740740740741
1777521368,10,,Aggregated,0.600000,0.000000,72,2100,18000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,324,2,72,86210.34135000045,16.538600000785664,3661433.0104999826,340.0740740740741
1777521369,10,,Aggregated,0.600000,0.000000,72,2100,18000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,325,2,72,85945.31607138504,16.538600000785664,3661433.0104999826,340.05846153846153
1777521370,10,,Aggregated,0.600000,0.000000,72,2100,18000,25000,30000,31000,3637000,3658000,3661000,3661000,3661000,325,2,72,85945.31607138504,16.538600000785664,3661433.0104999826,340.05846153846153
1777521371,10,,Aggregated,0.600000,0.000000,72,2100,18000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,327,2,72,96612.95786574953,16.538600000785664,3661433.0104999826,340.1131498470948
1777521372,10,,Aggregated,0.700000,0.000000,72,2100,18000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,328,2,72,96318.53426646371,16.538600000785664,3661433.0104999826,340.0975609756098
1777521373,10,,Aggregated,0.700000,0.000000,72,2100,18000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,328,2,72,96318.53426646371,16.538600000785664,3661433.0104999826,340.0975609756098
1777521374,10,,Aggregated,0.700000,0.000000,72,2100,18000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,328,2,72,96318.53426646371,16.538600000785664,3661433.0104999826,340.0975609756098
1777521375,10,,Aggregated,0.700000,0.000000,72,2100,18000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,328,2,72,96318.53426646371,16.538600000785664,3661433.0104999826,340.0975609756098
1777521376,10,,Aggregated,0.900000,0.000000,72,2100,18000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,329,2,72,96115.03535592741,16.538600000785664,3661433.0104999826,340.38601823708206
1777521377,10,,Aggregated,0.800000,0.000000,72,2100,18000,25000,30000,31000,3644000,3658000,3661000,3661000,3661000,330,2,72,95824.03926545485,16.538600000785664,3661433.0104999826,340.369696969697
1777521378,10,,Aggregated,0.600000,0.000000,72,2100,18000,25000,30000,32000,3644000,3658000,3661000,3661000,3661000,332,2,72,95344.03057198822,16.538600000785664,3661433.0104999826,340.65361445783134
1777521379,10,,Aggregated,0.600000,0.000000,72,2100,18000,25000,30000,32000,3644000,3658000,3661000,3661000,3661000,332,2,72,95344.03057198822,16.538600000785664,3661433.0104999826,340.65361445783134
1777521380,10,,Aggregated,0.600000,0.000000,72,2100,18000,25000,30000,32000,3644000,3658000,3661000,3661000,3661000,333,2,72,95064.66587477499,16.538600000785664,3661433.0104999826,340.74474474474476
1777521381,10,,Aggregated,0.800000,0.000000,72,2100,18000,26000,30000,32000,3644000,3658000,3661000,3661000,3661000,335,2,72,94582.56048686593,16.538600000785664,3661433.0104999826,340.88358208955225
1777521382,10,,Aggregated,0.800000,0.000000,72,2100,18000,26000,30000,32000,3644000,3658000,3661000,3661000,3661000,335,2,72,94582.56048686593,16.538600000785664,3661433.0104999826,340.88358208955225
1777521383,10,,Aggregated,0.800000,0.000000,72,2100,18000,26000,30000,32000,3644000,3658000,3661000,3661000,3661000,335,2,72,94582.56048686593,16.538600000785664,3661433.0104999826,340.88358208955225
1777521384,10,,Aggregated,0.800000,0.000000,72,2100,18000,26000,30000,32000,3644000,3658000,3661000,3661000,3661000,335,2,72,94582.56048686593,16.538600000785664,3661433.0104999826,340.88358208955225
1777521385,10,,Aggregated,0.800000,0.000000,72,2100,18000,26000,30000,32000,3644000,3658000,3661000,3661000,3661000,335,2,72,94582.56048686593,16.538600000785664,3661433.0104999826,340.88358208955225
